,0
terre,Earth
vieux,old
minutes,minutes
façon,way
belle,beautiful
vers,towards
loin,far
chambre,bedroom
plutôt,rather
leurs,their
parlé,speak
bébé,baby
voici,here is
parti,left
jouer,to play
enfant,child
venu,came
chérie,sweetheart
vont,will
chercher,search
ville,city
droit,law
frère,brother
croire,believe
type,type
bureau,office
seulement,only
sois,be
première,first
aimerais,would like to
parle,speak
venez,come
nouvelle,new
aujourd'hui,today
premier,first
étaient,were
genre,kind
côté,side
place,square
endroit,place
devant,in front of
eau,water
devrait,should
gros,large
police,police
mis,placed
espère,hope
longtemps,long time
dirait,would say
aucun,no
mettre,to put
donne,given
tellement,so much
aide,help
affaire,case
fin,end
corps,body
mari,husband
car,because
donner,give
matin,morning
pendant,while
partie,part
yeux,eyes
demandé,request
donné,given
train,train
heures,hours
filles,girls
main,hand
aucune,any
laisse,leash
pensais,thought
attention,Warning
mois,month
trouve,find
enfin,finally
savais,knew
pardon,sorry
compte,account
eux,them
compris,understood
arrêter,Stop
perdu,lost
écoute,listen
dont,whose
chaque,each
revoir,meet again
demande,request
tiens,here
aura,will have
pouvoir,power
arrivé,come
boulot,job
suite,after
laisser,let
point,point
pourrais,could
attendez,Wait
histoire,history
cause,cause
